,date,agency,location,description
0,6-7-2022 10:35 PM,Wilmington Police,800 BLOCK JACKSON ST,LARCENY/FROM ALL OTHER YARDS
1,6-7-2022 8:07 PM,Wilmington Police,100 BLOCK EASTLAWN AVE,DAMAGE/PRIVATE PROPERTY
2,6-7-2022 5:54 PM,Wilmington Police,1300 BLOCK LINDEN ST,DAMAGE/PRIVATE PROPERTY
3,6-7-2022 4:43 PM,Wilmington Police,2200 BLOCK PINE ST,DAMAGE/PRIVATE PROPERTY
4,6-7-2022 11:51 AM,Wilmington Police,800 BLOCK NW MARKET ST,LARCENY/SHOPLIFTING
5,6-7-2022 11:04 AM,Wilmington Police,400 BLOCK NW 2ND ST,LARCENY/FROM BUILDING
6,6-7-2022 12:20 AM,Wilmington Police,300 BLOCK COMPTON CT,POSSESSION OF WEAPON
7,6-6-2022 9:52 PM,Wilmington Police,1400 BLOCK DUPONT ST,LARCENY/SHOPLIFTING
8,6-6-2022 9:47 PM,Wilmington Police,800 BLOCK SHIPYARD ST,DAMAGE/PRIVATE PROPERTY
9,6-6-2022 6:55 PM,Wilmington Police,500 BLOCK BROOM ST,CARRYING PROHIBITED
10,6-6-2022 6:43 PM,Wilmington Police,600 BLOCK SW UNION ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
11,6-6-2022 5:13 PM,Wilmington Police,ROSA PARKS SW DR & S FRENCH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
12,6-6-2022 5:06 PM,Wilmington Police,1400 BLOCK DUPONT ST,LARCENY/SHOPLIFTING
13,6-6-2022 4:33 PM,Wilmington Police,100 BLOCK 27TH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
14,6-6-2022 3:53 PM,Wilmington Police,2700 BLOCK NORTHEAST BLVD,THEFT OF SERVICES FROM BUILDING
0,6-6-2022 3:29 PM,Wilmington Police,1600 BLOCK JESSUP ST,DISTURBING THE PEACE/PUBLIC NUISANCE
1,6-6-2022 3:21 PM,Wilmington Police,600 BLOCK SW N. MARKET ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
2,6-6-2022 1:22 PM,Wilmington Police,500 BLOCK NW 34TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
3,6-6-2022 12:42 PM,Wilmington Police,700 BLOCK HARRISON ST,FRAUD/MAIL
4,6-6-2022 12:13 PM,Wilmington Police,500 BLOCK RODMAN ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
5,6-6-2022 10:21 AM,Wilmington Police,1300 BLOCK 24TH ST,DAMAGE/PUBLIC PROPERTY
6,6-6-2022 10:15 AM,Wilmington Police,600 BLOCK SE W. FIFTH ST,DAMAGE/PRIVATE PROPERTY
7,6-6-2022 9:29 AM,Wilmington Police,3300 BLOCK S WASHINGTON ST,DAMAGE/PRIVATE PROPERTY
8,6-6-2022 9:06 AM,Wilmington Police,1300 BLOCK TWENTY FOURTH ST,DAMAGE/PRIVATE PROPERTY
9,6-6-2022 1:05 AM,Wilmington Police,1800 BLOCK NW FOURTH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
10,6-5-2022 9:47 PM,Wilmington Police,1200 BLOCK OAK ST,VEHICLE THEFT
11,6-5-2022 7:58 PM,Wilmington Police,900 BLOCK NE LOMBARD ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
12,6-5-2022 7:08 PM,Wilmington Police,800 BLOCK N. JEFFERSON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,6-5-2022 1:45 PM,Wilmington Police,000 BLOCK SE TWENTY SEVENTH ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
14,6-5-2022 12:29 PM,Wilmington Police,1100 BLOCK WEST ST,LARCENY/FROM BUILDING
0,6-5-2022 11:43 AM,Wilmington Police,200 BLOCK 24TH ST,DAMAGE/PRIVATE PROPERTY
1,6-5-2022 10:12 AM,Wilmington Police,2900 BLOCK SW N. JEFFERSON ST,LARCENY/FROM ALL OTHER YARDS
2,6-5-2022 9:32 AM,Wilmington Police,200 BLOCK NW CEDAR ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
3,6-5-2022 7:49 AM,Wilmington Police,100 BLOCK 29TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,6-4-2022 8:18 PM,Wilmington Police,800 BLOCK WEST ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
5,6-4-2022 7:57 PM,Wilmington Police,1400 BLOCK N DUPONT ST,LARCENY/SHOPLIFTING
6,6-4-2022 7:13 PM,Wilmington Police,400 BLOCK JUSTISON ST,LARCENY/FROM BUILDING
7,6-4-2022 6:46 PM,Wilmington Police,700 BLOCK NE CLAYTON ST,DAMAGE/BUSINESS PROPERTY
8,6-4-2022 2:29 PM,Wilmington Police,2000 BLOCK SE 6TH AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
9,6-4-2022 2:00 PM,Delaware State Police,2400 BLOCK E KIRKWOOD HWY,THEFT/FALSE PRETENSE OR PROMISE
10,6-4-2022 12:41 PM,Wilmington Police,1100 BLOCK SECOND ST,LARCENY/FROM BUILDING
11,6-4-2022 9:31 AM,Wilmington Police,3200 BLOCK 2ND ST,LARCENY/FROM BUILDING
12,6-4-2022 8:50 AM,Wilmington Police,1300 BLOCK NW A ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
13,6-4-2022 4:14 AM,Wilmington Police,1100 BLOCK NE TATNALL ST,BURGLARY/NO FORCED ENTRY/FREE TEXT
14,6-4-2022 3:48 AM,Wilmington Police,1100 BLOCK SW ORANGE ST,BURGLARY/NO FORCED ENTRY/FREE TEXT
0,6-3-2022 9:05 PM,Wilmington Police,1000 BLOCK SE C ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
1,6-3-2022 5:23 PM,Wilmington Police,500 BLOCK S RODNEY ST,LARCENY/FROM VEHICLE/NOT ATTACHED
2,6-3-2022 5:23 PM,Wilmington Police,1300 BLOCK NW LINDEN ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
3,6-3-2022 4:55 PM,Wilmington Police,1200 BLOCK S KING ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
4,6-3-2022 12:39 PM,Wilmington Police,3600 BLOCK WASHINGTON ST,VEHICLE THEFT
5,6-3-2022 11:57 AM,Wilmington Police,700 BLOCK ELBERT PL,DAMAGE/BUSINESS PROPERTY
6,6-3-2022 11:09 AM,Wilmington Police,600 BLOCK N MARKET ST,LARCENY/SHOPLIFTING
7,6-3-2022 11:02 AM,Wilmington Police,700 BLOCK N KING ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,6-2-2022 11:54 PM,Wilmington Police,200 BLOCK SE FIFTEENTH ST,CARRYING PROHIBITED
9,6-2-2022 7:00 PM,Wilmington Police,500 BLOCK 40TH ST,VEHICLE THEFT
